0    0.92168692911565087 0.51124322748795037 0.022720032563288327  0         -0.94581741094589233 -0.46050345897674561 1 
1    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
2    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
3    0 0 0  0         -0.96864616870880127 -1 1 
4    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
5    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
6    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
7    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
8    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
9    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
10    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
11    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
12    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
13    0.94545623527015976 0.055476245119236565 0.39965065336122368  0         -1 -1 0.18971681594848633 
14    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
15    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
16    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
17    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
18    0.94545623527015976 0.055526355544181151 0.20686803385442962  0         -1 -1 0.57193636894226074 
19    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
20    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
21    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
22    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
23    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
24    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
25    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
26    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
27    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
28    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
29    0.94545623527015976 0.71956964011664581 0.71159999550149255  0         -1 -0.25506889820098877 -0.40579873323440552 
30    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
31    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
32    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
33    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
34    0.30521285607008286 0.4500904057743047 0.24513213827991726  0         0.43530046939849854 0.16191363334655762 0.49261343479156494 
35    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
36    0.94545623527015976 0.077656850390417365 0.022720032563330189  0         -1 -0.97462117671966553 1 
37    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
38    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
39    0.94545623527015976 0.0555407102885392 0.17622440109867807  0         -1 -1 0.63749706745147705 
40    0.94545623527015976 0.055472126281478608 0.44334394275152417  0         -1 -1 0.10663723945617676 
41    0.94545623527015976 0.14646989912592176 0.022720032563313768  0         -1 -0.89703696966171265 1 
42    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
43    0.94545623527015976 0.16948429490087516 0.022720032563314001  0         -1 -0.87074637413024902 1 
44    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
45    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
46    0.94545623527015976 0.28145870408445411 0.022720032563305556  0         -1 -0.74455666542053223 1 
47    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
48    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
49    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
