0    0.94545623527015976 0.055482881957509729 0.64465217887862669  0         -1 -1 -0.27548009157180786 
1    0.94545623527015976 0.055470443836299718 0.51961166360336575  0         -1 -1 -0.036798000335693359 
2    0.093744590864130201 0.26494412205212914 0.94197794734237017  0         0.91105353832244873 0.19253015518188477 -0.90901404619216919 
3    0.94545623527015976 0.055474276994966987 0.41750808139665363  0         -1 -1 0.1564791202545166 
4    0.94545623527015976 0.055491260561246758 0.68525411805493197  0         -1 -1 -0.35439997911453247 
5    0.94545623527015976 0.61239008237270476 0.59772743660854388  0         -1 -0.37515866756439209 -0.18546479940414429 
6    0.15521203613028234 0.61870180585588352 0.75388579158151758  0         0.77224183082580566 0.51880145072937012 -0.49114769697189331 
7    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
8    0.41170072690411613 0.93475305635146644 0.24316988683686502  0         0.19666612148284912 0.58715569972991943 0.49732208251953125 
9    0.94545623527015976 0.055470215324521122 0.4999999999995639  0         -1 -1 -4.9591064453125e-05 
10    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
11    0.94545623527015976 0.055474276994966987 0.41750808139665363  0         -1 -1 0.1564791202545166 
12    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
13    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
14    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
15    0.94545623527015976 0.055471884440376373 0.44704252257317412  0         -1 -1 0.09976351261138916 
16    0.81240073742245411 0.69218853433395089 0.88376392224160039  0         -0.69902920722961426 -0.13518905639648438 -0.77048075199127197 
17    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
18    0.15521203613028234 0.61870180585588352 0.75388579158151758  0         0.77224183082580566 0.51880145072937012 -0.49114769697189331 
19    0.94545623527015976 0.055510246233058703 0.7514278811251508  0         -1 -1 -0.48646843433380127 
20    0.46637635643883646 0.76137388246147786 0.30254518649242451  0         0.075016617774963379 0.32975673675537109 0.37822389602661133 
21    0.94545623527015976 0.055470443836299718 0.51961166360336575  0         -1 -1 -0.036798000335693359 
22    0.56365481799062078 0.60838427533158002 0.87939107045208975  0         -0.14194750785827637 0.049963593482971191 -0.76003187894821167 
23    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
24    0.94545623527015976 0.055494613935927126 0.69897505675719496  0         -1 -1 -0.38053315877914429 
25    0.94545623527015976 0.055471884440376373 0.44704252257317412  0         -1 -1 0.09976351261138916 
26    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
27    0.94545623527015976 0.055509413954607227 0.74896609369375378  0         -1 -1 -0.48102003335952759 
28    0.41170072690411613 0.93477061117015869 0.30254518649242784  0         0.19666612148284912 0.58715569972991943 0.37822389602661133 
29    0.94545623527015976 0.055476634339348088 0.39650640741021703  0         -1 -1 0.19620275497436523 
30    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
31    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
32    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
33    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
34    0.94545623527015976 0.055471986084163219 0.44545721443368191  0         -1 -1 0.10315108299255371 
35    0.093744590864130201 0.26494412205212914 0.94197794734237017  0         0.91105353832244873 0.19253015518188477 -0.90901404619216919 
36    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
37    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
38    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
39    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
40    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
41    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
