0 590  -0.0105407 -575.333   -17422 182.493
100 2501  -6.50964e-05 -928.491   -107557 86.1471
200 3253  -2.79656e-06 -859.803   -145785 65.1071
300 3731  -2.79656e-06 -795.348   -169875 54.6452
400 4076  -1.18881e-07 -793.604   -187564 45.4835
500 4334  -1.18881e-07 -758.894   -200522 41.4113
600 4527  -1.18881e-07 -742.622   -209883 39.9081
700 4712  -1.18881e-07 -739.489   -218872 38.4168
800 4839  -1.18881e-07 -714.006   -225277 36.5446
900 4932  -1.18881e-07 -687.855   -229964 34.8827
1000 5022  -1.18881e-07 -690.372   -234326 34.6796
1100 5099  -1.18881e-07 -716.204   -238087 33.928
1200 5161  -1.18881e-07 -726.191   -241201 33.0569
1300 5201  -1.18881e-07 -726.029   -243185 32.5495
1400 5241  -1.18881e-07 -729.879   -245197 31.9459
1500 5267  -1.18881e-07 -723.954   -246493 31.6291
1600 5291  -1.18881e-07 -714.76   -247705 31.2352
1700 5315  -1.18881e-07 -711.841   -248903 31.0218
1800 5332  -1.18881e-07 -708.748   -249688 31.1303
1900 5347  -1.18881e-07 -705.682   -250413 31.0866
