0 558  -0.000114524 -511.996   -16794 169.704
100 2390  -7.6186e-06 -1136.62   -103314 87.5591
200 3178  -7.6186e-06 -1375.62   -143100 59.3403
300 3623  -7.6186e-06 -1419.91   -166171 48.2317
400 3960  -6.3501e-06 -1370.11   -182484 43.6494
500 4236  -1.21119e-06 -1357.48   -195786 42.3999
600 4458  -1.21119e-06 -1312   -206656 40.2392
700 4648  -1.21119e-06 -1276.45   -215972 39.0173
800 4796  -1.21119e-06 -1225.85   -223116 37.6374
900 4934  -1.21119e-06 -1212.88   -229918 36.0226
1000 5069  -1.21119e-06 -1263.82   -236473 35.4543
1100 5162  -3.19503e-07 -1280.88   -241052 34.8286
1200 5268  -3.19503e-07 -1338.51   -246072 34.4224
1300 5337  -3.19503e-07 -1356.67   -249237 34.9292
1400 5426  -5.79365e-08 -1394.89   -253392 35.1434
1500 5519  -5.79365e-08 -1447.73   -258021 33.6715
1600 5609  -5.79365e-08 -1476.31   -262585 32.4735
1700 5664  -5.79365e-08 -1502.36   -265360 31.8921
1800 5716  -5.79365e-08 -1522.77   -267782 32.1374
1900 5762  -5.15805e-08 -1525.91   -269994 31.9128
