#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 0 1.1 0.209762
0.01 0.01 1.1 0.219762
0.02 0.02 1.1 0.229762
0.03 0.03 1.1 0.239762
0.04 0.04 1.1 0.249762
0.05 0.05 1.1 0.259762
0.06 0.06 1.1 0.269762
0.07 0.07 1.1 0.279762
0.08 0.08 1.1 0.289762
0.09 0.09 1.1 0.299762
0.1 0.1 1.1 0.309762
0.11 0.11 1.1 0.319762
0.12 0.12 1.1 0.329762
0.13 0.13 1.1 0.339762
0.14 0.14 1.1 0.349762
0.15 0.15 1.1 0.359762
0.16 0.16 1.1 0.369762
0.17 0.17 1.1 0.379762
0.18 0.18 1.1 0.389762
0.19 0.19 1.1 0.399762
0.2 0.2 1.1 0.409762
0.21 0.21 1.1 0.419762
0.22 0.22 1.1 0.429762
0.23 0.23 1.1 0.439762
0.24 0.24 1.1 0.449762
0.25 0.25 1.1 0.459762
0.26 0.26 1.1 0.469762
0.27 0.27 1.1 0.479762
0.28 0.28 1.1 0.489762
0.29 0.29 1.1 0.499762
0.3 0.3 1.1 0.509762
0.31 0.31 1.1 0.519762
0.32 0.32 1.1 0.529762
0.33 0.33 1.1 0.539762
0.34 0.34 1.1 0.549762
0.35 0.35 1.1 0.559762
0.36 0.36 1.1 0.569762
0.37 0.37 1.1 0.579762
0.38 0.38 1.1 0.589762
0.39 0.39 1.1 0.599762
0.4 0.4 1.1 0.609762
0.41 0.41 1.1 0.619762
0.42 0.42 1.1 0.629762
0.43 0.43 1.1 0.639762
0.44 0.44 1.1 0.649762
0.45 0.45 1.1 0.659762
0.46 0.46 1.1 0.669762
0.47 0.47 1.1 0.679762
0.48 0.48 1.1 0.689762
0.49 0.49 1.1 0.699762
0.5 0.5 1.1 0.709762
0.51 0.51 1.1 0.719762
0.52 0.52 1.1 0.729762
0.53 0.53 1.1 0.739762
0.54 0.54 1.1 0.749762
0.55 0.55 1.1 0.759762
0.56 0.56 1.1 0.769762
0.57 0.57 1.1 0.779762
0.58 0.58 1.1 0.789762
0.59 0.59 1.1 0.799762
0.6 0.6 1.1 0.809762
0.61 0.61 1.1 0.819762
0.62 0.62 1.1 0.829762
0.63 0.63 1.1 0.839762
0.64 0.64 1.1 0.849762
0.65 0.65 1.1 0.859762
0.66 0.66 1.1 0.869762
0.67 0.67 1.1 0.879762
0.68 0.68 1.1 0.889762
0.69 0.69 1.1 0.899762
0.7 0.7 1.1 0.909762
0.71 0.71 1.1 0.919762
0.72 0.72 1.1 0.929762
0.73 0.73 1.1 0.939762
0.74 0.74 1.1 0.949762
0.75 0.75 1.1 0.959762
0.76 0.76 1.1 0.969762
0.77 0.77 1.1 0.979762
0.78 0.78 1.1 0.989762
0.79 0.79 1.1 0.999762
0.8 0.8 1.1 1.00976
0.81 0.81 1.1 1.01976
0.82 0.82 1.1 1.02976
0.83 0.83 1.1 1.03976
0.84 0.84 1.1 1.04976
0.85 0.85 1.1 1.05976
0.86 0.86 1.1 1.06976
0.87 0.87 1.1 1.07976
0.88 0.88 1.1 1.08976
0.89 0.89 1.1 1.09976
0.9 0.9 1.1 1.10976
0.91 0.91 1.1 1.11976
0.92 0.92 1.1 1.12976
0.93 0.93 1.1 1.13976
0.94 0.94 1.1 1.14976
0.95 0.95 1.1 1.15976
0.96 0.96 1.1 1.16976
0.97 0.97 1.1 1.17976
0.98 0.98 1.1 1.18976
0.99 0.99 1.1 1.19976
